epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,454.261,1.75963,0.76494,0.00245,0.74062,0.53216,0.58344,0.24243,2.43096,1.28716,0.00259,0.00102887,0.00102887,0.00102887
118,457.6,1.77961,0.74703,0.00209,0.73873,0.55335,0.60778,0.25326,2.45728,1.21995,0.00262,0.00102337,0.00102337,0.00102337
119,460.983,1.79149,0.74898,0.00241,0.77492,0.56389,0.63015,0.26804,2.44833,1.07969,0.00258,0.00101787,0.00101787,0.00101787
120,465.486,1.8427,0.82982,0.00269,0.77165,0.5522,0.6314,0.2653,2.45507,1.08708,0.00255,0.00101237,0.00101237,0.00101237
121,468.891,1.78608,0.80056,0.0021,0.74847,0.56013,0.6156,0.25904,2.50601,1.06114,0.00273,0.00100687,0.00100687,0.00100687
122,472.198,1.80837,0.72004,0.00213,0.71382,0.57462,0.6179,0.25789,2.52279,1.12239,0.00278,0.00100137,0.00100137,0.00100137
123,476.068,1.78194,0.73993,0.00202,0.74711,0.607,0.64688,0.26376,2.46698,1.17774,0.00281,0.000995866,0.000995866,0.000995866
124,479.948,1.8812,0.75958,0.00223,0.75939,0.6489,0.66636,0.2796,2.42196,1.13862,0.00275,0.000990365,0.000990365,0.000990365
125,483.389,1.7967,0.72622,0.00218,0.7589,0.62506,0.66739,0.28522,2.40065,1.08359,0.00262,0.000984864,0.000984864,0.000984864
126,486.787,1.82004,0.71439,0.00219,0.74567,0.62828,0.65669,0.26556,2.49831,1.1348,0.0027,0.000979362,0.000979362,0.000979362
127,491.13,1.75607,0.7813,0.0022,0.7387,0.63339,0.63681,0.25256,2.4892,1.20877,0.00272,0.000973861,0.000973861,0.000973861
128,494.481,1.85007,0.83092,0.00197,0.71764,0.58677,0.63931,0.2636,2.44273,1.13222,0.00266,0.00096836,0.00096836,0.00096836
129,497.828,1.79642,0.77679,0.00222,0.76758,0.63814,0.67571,0.28275,2.43644,1.07161,0.00265,0.000962859,0.000962859,0.000962859
